                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8966,                 5.2696,                 1.6087,                 0.4312,                0.09524,                 0.0584,                0.02747,                 1.6206,                 7.6537,                 1.4878,                  9e-05,                  9e-05,                  9e-05
                      2,                 1.4314,                 2.1074,                  1.335,                0.71695,                0.31699,                0.25432,                0.14842,                 1.1723,                 3.0966,                 1.2306,             0.00018624,             0.00018624,             0.00018624
                      3,                  1.223,                 1.4641,                 1.1782,                0.49571,                0.40258,                0.36736,                0.23245,                 1.0495,                 2.1136,                  1.139,             0.00027852,             0.00027852,             0.00027852
                      4,                 1.1524,                 1.1752,                 1.1302,                0.63934,                0.42469,                0.46368,                0.29001,                 1.0309,                 1.3268,                 1.1317,             0.00036683,             0.00036683,             0.00036683
                      5,                 1.1063,                 1.0134,                 1.0953,                0.80525,                 0.4583,                0.48853,                0.30542,                 1.0259,                 1.0815,                 1.1099,             0.00045119,             0.00045119,             0.00045119
                      6,                 1.0748,                0.93986,                 1.0925,                0.63786,                0.50698,                0.51624,                0.33045,                 1.0052,                0.96601,                 1.0813,             0.00053159,             0.00053159,             0.00053159
                      7,                 1.0637,                0.90208,                 1.0793,                0.41416,                0.49258,                0.49594,                0.30767,                 1.0157,                0.88655,                 1.1021,             0.00060803,             0.00060803,             0.00060803
                      8,                 1.0554,                0.86295,                 1.0935,                0.62585,                 0.5129,                0.48157,                0.30178,                 1.0104,                0.88969,                 1.0965,             0.00068051,             0.00068051,             0.00068051
                      9,                 1.0556,                 0.8331,                 1.0781,                0.43179,                0.43764,                0.47237,                0.29929,                 1.0189,                 0.9583,                 1.1099,             0.00074902,             0.00074902,             0.00074902
                     10,                 1.0456,                0.81102,                 1.0846,                0.75708,                0.46232,                0.51627,                0.33165,                 1.0328,                0.80644,                 1.1055,             0.00081358,             0.00081358,             0.00081358
                     11,                 1.0379,                0.80542,                 1.0572,                0.60482,                0.48677,                0.51031,                0.33146,                 1.0004,                0.92882,                 1.1183,               0.000802,               0.000802,               0.000802
                     12,                0.98324,                0.74812,                 1.0443,                0.85105,                 0.3898,                 0.4401,                0.29311,                 1.0418,                 1.0641,                 1.1492,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.0182,                0.75339,                 1.0534,                0.73389,                0.43132,                0.48724,                0.30543,                 1.0451,                 1.0663,                 1.1345,              0.0007624,              0.0007624,              0.0007624
                     14,                0.97383,                0.72974,                 1.0419,                0.77192,                0.38374,                0.43045,                0.26438,                 1.1014,                  1.063,                 1.2084,              0.0007426,              0.0007426,              0.0007426
                     15,                 0.9847,                0.70792,                 1.0445,                0.60673,                0.40092,                0.40754,                0.25445,                 1.1318,                 1.6501,                 1.2108,              0.0007228,              0.0007228,              0.0007228
                     16,                0.96875,                0.69377,                 1.0295,                0.66571,                0.43771,                0.47788,                0.29818,                 1.0321,                 1.0121,                 1.1392,               0.000703,               0.000703,               0.000703
                     17,                0.97117,                0.68388,                 1.0415,                0.53412,                0.50552,                0.52347,                0.33981,                0.97708,                0.78974,                 1.0986,              0.0006832,              0.0006832,              0.0006832
                     18,                0.90977,                0.63468,                 1.0265,                0.80808,                0.44564,                0.53726,                0.35734,                0.96587,                 0.7472,                 1.0973,              0.0006634,              0.0006634,              0.0006634
                     19,                0.93734,                0.66785,                 1.0249,                0.66836,                 0.5443,                0.53272,                0.34371,                0.96725,                0.72623,                 1.0768,              0.0006436,              0.0006436,              0.0006436
                     20,                0.92709,                0.64964,                 1.0133,                0.66818,                0.52961,                0.52464,                 0.3303,                0.98262,                0.78589,                 1.0852,              0.0006238,              0.0006238,              0.0006238
